"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2,C4";"C0805";2;"22uF 35V";;;
2;"C5,C8";"CAP-SMD_BD5.0-L5.3-W5.3-LS6.3-FD";2;"100uF";;;
3;"Rs1";"R2512";1;"0.33 1W";;;
4;"D1,D3,D2,D4,D5";"SMA_L4.3-W2.6-LS5.2-RD";5;"SS36";;;
5;"C1";"C0603";1;"100pF 50V";;;
6;"Q1";"SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR";1;"AO3400A_C347475";;;
7;"C3";"C0805";1;"100nF 50V";;;
8;"R2,R7,R3,R1";"R0603";4;"5.1kΩ 100mW";;;
9;"U4";"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL";1;"MT3608";;;
10;"U5";"R0603";1;"110kΩ";;;
11;"R6";"R0603";1;"15kΩ";;;
12;"L1";"IND-SMD_L4.0-W4.0_FNR40XXS";1;"47uH 800mA";;;
13;"R4";"R0603";1;"RC0603FR-0747RL";;;
14;"C9,C7";"C0402";2;"100nF";;;
15;"U2";"SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR";1;"PT4115";;;
16;"L2";"IND-SMD_L3.5-W3.0";1;"SM3521-4R7MT";;;
