Comment,Designator,Footprint,LCSC Part #
100nF,C7 C9,C0402,C307331
100uF,C5 C8,CAP-SMD_BD5.0-L5.3-W5.3-LS6.3-FD,C72473
15kΩ,R6,R0603,C2906995
110kΩ,U5,R0603,C2906984
0.33 1W,Rs1,R2512,C19269965
100nF 50V,C3,C0805,C476766
100pF 50V,C1,C0603,C14858
22uF 35V,C2 C4,C0805,C6119901
47uH 800mA,L1,IND-SMD_L4.0-W4.0_FNR40XXS,C167888
5.1kΩ 100mW,R1 R2 R3 R7,R0603,C23186
AO3400A,Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C347475
MT3608,U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C84817
PT4115,U2,SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR,C347356
RC0603FR-0747RL,R4,R0603,C114623
SM3521-4R7MT,L2,IND-SMD_L3.5-W3.0,C35602
SS36,D1 D2 D3 D4 D5,SMA_L4.3-W2.6-LS5.2-RD,C16015
