"Reference","Qty","Value","Footprint","LCSC Part"
"C7,C9","2","100nF","easyeda2kicad:C0402","C307331"
"C5,C8","2","100uF","easyeda2kicad:CAP-SMD_BD5.0-L5.3-W5.3-LS6.3-FD","C72473"
"R6","1","15kΩ","easyeda2kicad:R0603","C2906995"
"U5","1","110kΩ","easyeda2kicad:R0603","C2906984"
"Rs1","1","0.33 1W","easyeda2kicad:R2512","C19269965"
"C3","1","100nF 50V","easyeda2kicad:C0805","C476766"
"C1","1","100pF 50V","easyeda2kicad:C0603","C14858"
"C2,C4","2","22uF 35V","easyeda2kicad:C0805","C6119901"
"L1","1","47uH 800mA","easyeda2kicad:IND-SMD_L4.0-W4.0_FNR40XXS","C167888"
"R1,R2,R3,R7","4","5.1kΩ 100mW","easyeda2kicad:R0603","C23186"
"Q1","1","AO3400A_C347475","easyeda2kicad:SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR","C347475"
"U4","1","MT3608","easyeda2kicad:SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","C84817"
"U2","1","PT4115","easyeda2kicad:SOT-89-5_L4.5-W2.5-P1.50-LS4.5-BR","C347356"
"R4","1","RC0603FR-0747RL","easyeda2kicad:R0603","C114623"
"L2","1","SM3521-4R7MT","easyeda2kicad:IND-SMD_L3.5-W3.0","C35602"
"D1,D2,D3,D4,D5","5","SS36","easyeda2kicad:SMA_L4.3-W2.6-LS5.2-RD","C16015"
